"name","country","date","position","streams","artists","genres"
"maybe (feat. Bring Me The Horizon)","global","2022-03-27",86,990475,"['Machine Gun Kelly', 'Bring Me The Horizon']","['ohio hip hop', 'uk metalcore', 'melodic metalcore', 'pop', 'metalcore', 'pop rap', 'rock']"
"Counting Stars","global","2022-10-13",157,990414,"['OneRepublic']","['pop rock', 'pop', 'piano rock']"
"Perfect","global","2022-09-29",150,990325,"['Ed Sheeran']","['uk pop', 'pop']"
"Don't Start Now","global","2022-10-14",186,990325,"['Dua Lipa']","['pop', 'dance pop', 'uk pop']"
"Circles","global","2022-09-16",167,990286,"['Post Malone']","['melodic rap', 'dfw rap', 'rap']"
"Don't Start Now","global","2022-09-29",151,990046,"['Dua Lipa']","['pop', 'dance pop', 'uk pop']"
"MAMIII","global","2022-09-25",124,989934,"['Becky G', 'KAROL G']","['rap latina', 'dance pop', 'latin viral pop', 'reggaeton colombiano', 'pop', 'reggaeton']"
"Un Coco","global","2022-09-19",141,989902,"['Bad Bunny']","['reggaeton', 'trap latino']"
"Gasoline","global","2022-01-20",101,989615,"['The Weeknd']","['pop', 'canadian pop', 'canadian contemporary r&b']"
"Night Changes","global","2022-09-26",144,989076,"['One Direction']","['boy band', 'post-teen pop', 'pop', 'talent show']"
"First Class","global","2022-10-02",120,988918,"['Jack Harlow']","['pop', 'kentucky hip hop', 'deep underground hip hop']"
"Why'd You Only Call Me When You're High?","global","2022-09-20",151,988853,"['Arctic Monkeys']","['sheffield indie', 'rock', 'garage rock', 'permanent wave', 'modern rock']"
"Counting Stars","global","2022-10-15",167,988842,"['OneRepublic']","['pop rock', 'pop', 'piano rock']"
"Levitating (feat. DaBaby)","global","2022-09-25",125,988766,"['Dua Lipa', 'DaBaby']","['uk pop', 'north carolina hip hop', 'pop', 'dance pop', 'rap', 'trap']"
"BREAK MY SOUL","global","2022-10-11",145,988694,"['Beyoncé']","['r&b', 'pop', 'dance pop']"
"Pepas","global","2022-09-21",161,988552,"['Farruko']","['latin hip hop', 'trap latino', 'reggaeton']"
"Sunflower - Spider-Man: Into the Spider-Verse","global","2022-09-30",164,988530,"['Post Malone', 'Swae Lee']","['melodic rap', 'dfw rap', 'rap', 'trap']"
